clip,video_id,channel_id,split
zUdMBtK2UVE_31011-31098,zUdMBtK2UVE,UC9tRyMbnMaUP-t5LHVNfUig,train
DGls-Z4e6OI_7698-7883,DGls-Z4e6OI,UC0580lt7nrzOCuiQT-MEVUA,train
iDg2hR1FPgA_15978-16223,iDg2hR1FPgA,UCMq2jlUH773DkHu4Lpo2JUQ,train
IMrKEA2j278_6853-6890,IMrKEA2j278,UCtKSLA4sBvp4gU-NIGFEQgg,train
i7GsJrDdCVU_15263-16742,i7GsJrDdCVU,UCq2Sm0h2cDmqKtlaonWNUpQ,train
iTzr7agImr8_40240-40295,iTzr7agImr8,UCf9AjM4pnPIawowvvGyvKdw,train
VMtgYMIS_o0_4414-4598,VMtgYMIS_o0,UCV1DOpd_km_2XLIYE1LEFNA,train
smwfiZd8HLc_20322-20668-downsampled,smwfiZd8HLc,UC6rmcst_CnfHfOUjEtqvN4A,train
3mXFJ8S-boU_1532-1683,3mXFJ8S-boU,UCdcrzP2PPte7nmazWopKbPA,train
DGls-Z4e6OI_8160-8300,DGls-Z4e6OI,UC0580lt7nrzOCuiQT-MEVUA,train
iZHhWklQwmQ_2136-3006,iZHhWklQwmQ,UCtKSLA4sBvp4gU-NIGFEQgg,train
VMtgYMIS_o0_10810-11000,VMtgYMIS_o0,UCV1DOpd_km_2XLIYE1LEFNA,train
Lz0Oh2cxoTU_15359-15573,Lz0Oh2cxoTU,UCMq2jlUH773DkHu4Lpo2JUQ,train
4yWavYq9_Ks_2935-3129,4yWavYq9_Ks,UCbQkjf9DtYuiPdpPs5QJB7A,train
HK25g1U-GF4_2552-2812,HK25g1U-GF4,UCPdNVAdC1Ac0vHVEWpR2P7w,train
DGls-Z4e6OI_20453-20628,DGls-Z4e6OI,UC0580lt7nrzOCuiQT-MEVUA,train
YUdsgQGHSR8_3980-4079,YUdsgQGHSR8,UC0deSyrJ8rJUROPwjUFxjNQ,train
9mNutrRQ1GI_1363-1536,9mNutrRQ1GI,UCP_2hL9I_TCOV-hHAyuWsHg,train
iTzr7agImr8_2675-2717,iTzr7agImr8,UCf9AjM4pnPIawowvvGyvKdw,train
Cztb-0cliGA_1619-1751,Cztb-0cliGA,UCbQkjf9DtYuiPdpPs5QJB7A,train
DGls-Z4e6OI_6983-7262,DGls-Z4e6OI,UC0580lt7nrzOCuiQT-MEVUA,train
js4wxP9HxG0_3589-3760,js4wxP9HxG0,UCRIR6yLqmJcHAHTgIYOBY8Q,train
ljahBVDaBNE_10818-10882,ljahBVDaBNE,UCMq2jlUH773DkHu4Lpo2JUQ,train
iWYy8n6mSwc_16300-16611,iWYy8n6mSwc,UC0580lt7nrzOCuiQT-MEVUA,train
WPRrMorSAkQ_4329-4879,WPRrMorSAkQ,UC3R8XrcwJwAzJO4PpoE2RiA,train
G0NLcryxxgE_841-967,G0NLcryxxgE,UCtKSLA4sBvp4gU-NIGFEQgg,train
iTzr7agImr8_20127-20305,iTzr7agImr8,UCf9AjM4pnPIawowvvGyvKdw,train
iTzr7agImr8_26184-26274,iTzr7agImr8,UCf9AjM4pnPIawowvvGyvKdw,train
DGls-Z4e6OI_16145-16202,DGls-Z4e6OI,UC0580lt7nrzOCuiQT-MEVUA,train
F1Q8R2XJ5cs_775-1013,F1Q8R2XJ5cs,UCbQkjf9DtYuiPdpPs5QJB7A,train
DGls-Z4e6OI_7885-8029,DGls-Z4e6OI,UC0580lt7nrzOCuiQT-MEVUA,train
ljahBVDaBNE_17800-17956,ljahBVDaBNE,UCMq2jlUH773DkHu4Lpo2JUQ,train
zUdMBtK2UVE_16917-17113,zUdMBtK2UVE,UC9tRyMbnMaUP-t5LHVNfUig,train
Cztb-0cliGA_1036-1115,Cztb-0cliGA,UCbQkjf9DtYuiPdpPs5QJB7A,train
iZHhWklQwmQ_5140-5473,iZHhWklQwmQ,UCtKSLA4sBvp4gU-NIGFEQgg,train
Lu-4VcxuBW0_3207-3448,Lu-4VcxuBW0,UCtKSLA4sBvp4gU-NIGFEQgg,train
iWYy8n6mSwc_949-1017,iWYy8n6mSwc,UC0580lt7nrzOCuiQT-MEVUA,train
V9YDDpo9LWg_923-1575,V9YDDpo9LWg,UCL8EwWTMmOUDXoMv0yUf8Vg,train
8db0Gcv3V10_271-642,8db0Gcv3V10,UC0580lt7nrzOCuiQT-MEVUA,train
iTzr7agImr8_7039-7124,iTzr7agImr8,UCf9AjM4pnPIawowvvGyvKdw,train
DGls-Z4e6OI_6731-6960,DGls-Z4e6OI,UC0580lt7nrzOCuiQT-MEVUA,train
iDg2hR1FPgA_25090-25258,iDg2hR1FPgA,UCMq2jlUH773DkHu4Lpo2JUQ,train
ljahBVDaBNE_15103-15857,ljahBVDaBNE,UCMq2jlUH773DkHu4Lpo2JUQ,train
jT5WV_7EJr8_1318-1666,jT5WV_7EJr8,UCtKSLA4sBvp4gU-NIGFEQgg,train
DGls-Z4e6OI_15498-15721,DGls-Z4e6OI,UC0580lt7nrzOCuiQT-MEVUA,train
rvIPH4ccfpI_1-812,rvIPH4ccfpI,UCSx9MAILUJ_j8NWIHZBI8_w,train
4yWavYq9_Ks_1081-1130,4yWavYq9_Ks,UCbQkjf9DtYuiPdpPs5QJB7A,train
iZHhWklQwmQ_3660-3831,iZHhWklQwmQ,UCtKSLA4sBvp4gU-NIGFEQgg,train
iWYy8n6mSwc_13412-13892,iWYy8n6mSwc,UC0580lt7nrzOCuiQT-MEVUA,train
Cztb-0cliGA_1349-1470,Cztb-0cliGA,UCbQkjf9DtYuiPdpPs5QJB7A,train
ljahBVDaBNE_14837-14979,ljahBVDaBNE,UCMq2jlUH773DkHu4Lpo2JUQ,train
IMrKEA2j278_4605-4875,IMrKEA2j278,UCtKSLA4sBvp4gU-NIGFEQgg,train
8db0Gcv3V10_2840-2925,8db0Gcv3V10,UC0580lt7nrzOCuiQT-MEVUA,train
VgunPOuHyW0_1255-1534,VgunPOuHyW0,UCtKSLA4sBvp4gU-NIGFEQgg,train
iDg2hR1FPgA_15001-15094,iDg2hR1FPgA,UCMq2jlUH773DkHu4Lpo2JUQ,train
LHprThG7a00_1-948,LHprThG7a00,UCogdNa9Hqm_ZJHLScKI3hfQ,train
smwfiZd8HLc_10346-12974-downsampled,smwfiZd8HLc,UC6rmcst_CnfHfOUjEtqvN4A,train
DGls-Z4e6OI_4939-4993,DGls-Z4e6OI,UC0580lt7nrzOCuiQT-MEVUA,train
