video_id,channel_id,title,author,length,fps,resolution,avg_bitrate,description,keywords,publish_date,width,height,frame_count
4yWavYq9_Ks,UCbQkjf9DtYuiPdpPs5QJB7A,Play Tips for the Sensory Challenged Child | Penfield Children's Center,Penfield Children,195,30,1080p,128kbps,"Children with sensory issues may have difficulty playing with the same toys and engaging in the same play activities as their peers.  The video above offers suggestions on how to engage the sensory challenged child in playtime and ease him into new sensory experiences at his own pace.  

Learn more about the Kohl's Building Blocks program:
http://penfieldbuildingblocks.org

Learn More about Penfield Children's Center:
http://penfieldchildren.org/

Donate online today:
http://bit.ly/1bKUSUI

Subscribe on YouTube:
http://YouTube.com/subscription_cente...

Like us on Facebook:
https://www.facebook.com/PenfieldChil...

Follow us on Twitter:
https://twitter.com/PenfieldCenter","['Penfield', ""Children's"", 'Center', 'Sensory Processing', 'Sensory Processing Disorder', 'Play', 'Child Development', 'Special Needs']",2015-01-21,1920,1080,5854
BL9cNtpb_QI,UCbQkjf9DtYuiPdpPs5QJB7A,Milwaukee Area Early Education & Child Care | Penfield Children's Center,Penfield Children,100,24,1080p,128kbps,"Donate Today: http://bit.ly/1HGx7ST

Meet four-and-a-half-year-old Manny and his mother, Danielle, to find out how Penfield Children's Center has been a wonderful fit for their daycare needs in Milwaukee.

The Early Education and Child Care program at Penfield Children’s Center provides a nurturing child care environment where teachers and families work together to prepare children for school by promoting positive growth and development. The program uses a child-centered, exploratory approach to early learning, and a curriculum that focuses on social, emotional, cognitive, physical, behavioral, and language development.

Penfield’s program is fully inclusive meaning typically-developing children and children with a developmental delay or disability learn and play together. Licensed and certified teachers use a combination of experience and knowledge to bring out the best in every child in their care. Penfield is accredited by the National Association for the Education of Young Children (NAEYC) and has been awarded a 5-star rating from YoungStar, Wisconsin’s Childcare Rating Program.

Based on our philosophy of holistic care, Penfield offers a comprehensive program for all families seeking high quality early education and child care. Children may receive speech, physical and occupational therapy and an on-site nursing staff monitors the health of all children in the center. Other program highlights include:

► Week day programs from 7:00am to 5:30pm, for children ages 5 weeks to 6 years old
► An indoor playground and fenced outdoor playground
► Cheerful classroom environment
► Arts programming
► Nutritious breakfast, lunch and snacks included in tuition
► Family support programs
► Transportation
► Before and after school care


Learn more about Penfield Children's Center:
http://bit.ly/18oaFfJ

Donate online today:
http://bit.ly/1bKUSUI

Subscribe on YouTube:
http://YouTube.com/subscription_center?add_user=PenfieldChildren

Like us on Facebook:
https://www.facebook.com/PenfieldChildrensCenter

Follow us on Twitter:
https://twitter.com/PenfieldCenter","[""Penfield Children's Center"", 'Child Care (Industry)', 'Milwaukee (City/Town/Village)', 'Day Care', 'Early Childhood Education (Field Of Study)', 'Milwaukee Day Care', 'Milwaukee Child Care', 'Child Growth and Development', 'Wisconsin Day Care', 'Wisconsin Child Care', 'Certified Day Care']",2015-03-09,1920,1080,2391
dUYIh1U2z-8,UCUyE-L2iWWV_tMoT20KF6xQ,Apple Montessori Kindergartners Read to the Infant Class,Apple Montessori Schools,212,30,1080p,128kbps,"This video is both adorable and impressive! Two of our kindergartners, who have been with Apple since they were infants, read a story to a captive audience of babies. It's incredible to see our students come full circle.

With Apple's proprietary reading program, most of our students learn to read by age 4. Our kindergartners also become the leaders of their class with special jobs and helping to mentor their younger classmates (Montessori preschool classrooms are mixed age from 2.5 to 6). 

-----

Family-owned Apple Montessori has set exceptional standards in early childhood education since 1972. Our research-proven infant, toddler, preschool, kindergarten and elementary programs give children an edge academically, socially and emotionally. We inspire a lifelong love of learning and help children reach their fullest potential. Visit us to experience our unique approach to learning, meet our nurturing teachers who love what they do, and explore our safety-certified school: www.applemontessorischools.com.

Apple Montessori Schools offers 15 locations in NJ including Apple Montessori Hoboken, Cliffside Park, Edgewater, Edison, Kinnelon, Mahwah, Metuchen, Morris Plains, Oakland, Randolph, Towaco and Wayne.","['Montessori Schools', 'New Jersey', 'Pre-K', 'Preschool', 'Child Care', 'Day Care', 'Daycare', 'NJ', 'Montessori', 'Apple montessori', 'child', 'education', 'teacher', 'assistant', 'baby', 'infant', 'reading', 'read', 'kindergarten', 'kindergartner', 'classroom', 'cute', 'inspiring', 'impressive']",2018-02-28,1440,1080,6360
LHT2zVYvObg,UCUyE-L2iWWV_tMoT20KF6xQ,Infant & Toddler Program in Northern NJ - Apple Montessori Schools,Apple Montessori Schools,240,24,1080p,128kbps,"Infant Program
We create a warm, nurturing environment for the children in our Infant Program (6 weeks to 18 months). Our unobtrusive schedule allows us to provide the loving care and stimulation infants need to develop. Each child eats, sleeps, and plays according to his or her own natural timetable.We offer separate nap rooms to encourage good sleeping habits. To boost development, the program also includes yoga, music, sign language, and food tasting. Primary and secondary caregivers are assigned to every child, who monitor daily activities and provide parent reports.

*Family Owned and Operated for Over 43 Years!
*Hands on Learning with an Abundance of Montessori Materials
and Tools in Every Classroom
*Individualized Learning at Child’s Own Pace
*Unique Proven Reading Program
*Character and Social Development Program
*Summer Camps with pool and swimming lessons

Apple Montessori Schools provide proven reading programs as well as foreign language, art and music enrichment, and gifted and talented programs for preschool and elementary (primary) school-aged children. State-of-the-art facilities and playgrounds with full security and surveillance systems enable your children to have fun in safe and healthy environments. Apple Montessori Schools also provide Before and After School Daycare Programs, Infant Programs and Summer Camps featuring swimming lessons.

Apple Montessori Schools are located in Cliffside Park, Edgewater, Edison, Hoboken, Kinnelon, Mahwah, Metuchen, Morris Plains, Oakland, Randolph, Towaco and Wayne, New Jersey.

Apple Montessori Schools
Developing the Foundation for a Lifetime of School Success!
http://www.applemontessorischools.com

#AppleMontessori #AppleAdvantage #Infant","['Apple Montessori Schools', 'infant', 'New Jersey (US State)', 'Family', 'Parents', 'North Jersey (Location)', 'Education', 'Parents (Magazine)', 'School (Building Function)', 'Childrens', 'Parenting', 'Childhood', 'Daycare', 'Primary School (School Category)', 'Primary Care (Industry)', 'Montessori Education (School Category)', 'Health And Social Care (Organization Sector)', 'Preschool (School Category)', 'Hoboken (City/Town/Village)', 'Safe', 'Preschool', 'Kindergarten (Industry)']",2015-03-18,1920,1080,5757
ljahBVDaBNE,UCMq2jlUH773DkHu4Lpo2JUQ,Day Care Observation Video #2,Lexi Borrego,1666,30,1080p,128kbps,,[],2017-03-25,1920,1080,49934
Lz0Oh2cxoTU,UCMq2jlUH773DkHu4Lpo2JUQ,Day Care Observation Video #3,Lexi Borrego,1683,30,1080p,128kbps,,[],2017-04-25,1920,1080,50436
Z9tJBluH1Zw,UC-QQn64-0MRaZCHKNw_cjjw,3rd observation part 1,Shannon Scott,1991,30,1080p,128kbps,,[],2018-04-05,1920,1080,59717
Y-5XEtligfs,UCbQkjf9DtYuiPdpPs5QJB7A,Make a Calm Down Space | Penfield Children's Center,Penfield Children,148,30,1080p,128kbps,Teach your child to regulate his behavior before he makes a poor choice! Create a calm down space in your home to promote relaxation and grounding.,"['Penfield', ""Children's"", 'Center']",2020-05-08,1920,1080,4420
iDg2hR1FPgA,UCMq2jlUH773DkHu4Lpo2JUQ,Day Care Observation Video #1,Lexi Borrego,1875,30,1080p,128kbps,,[],2017-02-25,1920,1080,56182
TVe0JN9Ij6o,UC-QQn64-0MRaZCHKNw_cjjw,Edu 184 final video,Shannon Scott,601,30,1080p,128kbps,,[],2018-11-28,1920,1080,18043
